Model,N,Events,Beta_latent_mean,Beta_latent_HDI_2.5,Beta_latent_HDI_97.5,OR_latent_mean,OR_latent_HDI_2.5,OR_latent_HDI_97.5,P_beta_latent_gt_0,Rhat_beta_latent,ESS_bulk_beta_latent
Primary: latent + age + disease duration,258,106,0.18533775841594627,-0.06943298385323564,0.46833217784336967,1.2151281289068783,0.8893254984386136,1.5395630853789852,0.911125,1.0,8251.0
Sensitivity + UPDRS-III,254,106,0.1392222808185742,-0.13291471976140665,0.42145436997362645,1.1606766720210249,0.8518181659749933,1.4878890803926548,0.844125,1.0,10034.0
Sensitivity + H&Y,254,105,0.19683938729785883,-0.07580054378267401,0.4711958180884068,1.229426069317285,0.903774533212644,1.5732055441204087,0.921875,1.0,8711.0
Sensitivity + LEDD,254,105,0.2158381593307555,-0.06141566037590813,0.4771920565398013,1.2526686158663232,0.9190990995085179,1.5887324511363168,0.942625,1.0,9272.0
Sensitivity + gait speed,257,105,0.18082196574343715,-0.10116319685250318,0.460375353207321,1.2104346343948733,0.8882096652432774,1.5613219692198461,0.89825,1.0,9820.0
Expanded: + UPDRS-III + LEDD + gait speed,249,104,0.18580693522924496,-0.09344830357258803,0.4744572932879712,1.2168983625766514,0.8932604382265885,1.5837518415722287,0.9025,1.0,7821.0
