Model,N,Events,Beta_latent,SE,OR_latent,CI95_low,CI95_high,p_value
Primary: latent + age + disease duration,258,106,0.18458154308956595,0.13505273926645894,1.2027150503874655,0.9230038937820969,1.567191105230613,0.1717078317238725
Sensitivity + UPDRS-III,254,106,0.14018626397708547,0.13875989598937558,1.150488073384933,0.8765310658656228,1.510069475625287,0.31236144945790745
Sensitivity + H&Y,254,105,0.19580481136503822,0.1381434362748737,1.21628947628075,0.9277840075850088,1.594509150855086,0.15636536799889567
Sensitivity + LEDD,254,105,0.21711460938167346,0.1387602801385013,1.242486494586735,0.9466218873680385,1.630822939793518,0.11765935632503077
Sensitivity + gait speed,257,105,0.1828229613374464,0.13969436896511137,1.2006018363213142,0.9130377958351893,1.5787350490343826,0.1906240069516314
Expanded: + UPDRS-III + LEDD + gait speed,249,104,0.18318756458616228,0.14402708520742943,1.201039659462271,0.9056471369032754,1.5927795769703943,0.20340984869504153
