Feature,PC1,PC2,PC3,PC4,PC5
HR V,0.489829635266191,-0.20967654798654534,0.08067857340042257,-0.06673263726939939,0.17191667449663206
HR ML,0.35692038578924823,-0.2859610431987435,0.07185993959427385,-0.4786761855282355,-0.41388346710691015
HR AP,0.5150226695458783,-0.24873045007705533,0.05050497101334531,0.003189470136527838,0.1105422818913791
iHR V,0.3452757502406997,-0.0293988730413369,-0.3304804579428012,0.2558462655008245,0.5906975927529641
iHR ML,0.17756169483082668,-0.01694551935968022,-0.3346464717509439,0.7065812950156238,-0.5074966222477153
iHR AP,0.10907094496445006,-0.15591765739316837,0.7446625702392015,0.4162841553481679,-0.06792765454979664
%det V,0.22141752480008417,0.5804703929826438,0.36546895158497733,0.02670413716083377,-0.06590805153241122
%det ML,0.3219465986214604,0.3046616630229923,-0.2740679882072467,-0.15669888702747037,-0.38057678687855656
%det AP,0.2282785877243996,0.5976360296257205,0.03698121676254961,-0.05595626545519516,0.16325544616520696
